sah, POS, translation
илит=,v.,"to make wet, dampen"
илим,n.,net; web (of a spider);
илимнээ=,v.,"to net, catch with a"
илин,n.,front (side)
илит=,v.,"to wet, soak; to urinate"
илиһин=,v.,"to become exhausted, tire"
илк=,v.,"to cast off, throw away;"
илгиһин=,v.,to shake down (e.g.
илт=,v.,"to take away, carry"
илэ,a.,"clear, open, revealed, obvious"
им,n.,"sunset, afterglow"
им-дьим,n.,"silence, quiet"
имигэс,a.,"flexible, supple"
имит=,v.,"to press, wrinkle"
иҥ=,v.,to be absorbed
иҥин=,v.,to stick to
инженер,n.,engineer [<Russ.]
"ини, инни",n.,brother (younger)
иҥиир,n.,"tendon, sinew"
"иннэ, инньэ",n.,needle;
инньэлик,n.,"needle-case, needle cushion"
иннэгэр,adv.,"in front of, from the front of"
инструктар,n.,instructor [<Russ.]
иҥсэ,n.,greed
иҥсэ,n.,greed;
иҥсэр=,v.,"to covet, be greedy"
интэриэһинэй,a.,interesting [<Russ. интересный]
ир=,v.,to boil
ир=,v.,"to melt (of snow), thaw, warm up;"
ириэрии,n.,thaw
ириҥэ,n.,pus;
ириҥэтий=,v.,to exude pus
ис,n.,"inside, interior;"
истээх таҥас,n.,lined clothing;
ис таҥас,n.,
ис=,v.,to drink
ис=,v.,"to go; =ан ис= conv., to be doing something currently"
ис=,v.,to swell;
иһигир=,v.,"to swell, redden from cold"
искэй=,v.,to swell;
искэн,n.,swelling
искэх,n.,"roe, spawn, caviar"
испиир,n.,"spirits, alcohol [<Russ. спирт]"
испиискэ,n.,matches [<Russ. спичка]
испииһэк,n., "list [<Russ. список] ( cf. бииһэк)"
испэктээк,n.,"show, performance, play [<Russ. спектакль]"
истии,n.,cabbage soup [<Russ. щи]
истиҥ,a.,insincere
истиэнэ,n.,wall [<Russ. стена]
ит=,v.,"to bear, carry"
ити,pro.,"this, these;"
итинник,pro.,"such, like that"
итигэс,a.,hot
итигэстээ=,v.,to gather
итии,n.,heat;
итии,a.,hot;
итии,v.,"to become hot, heat up;"
иб-итии,a.,very hot
итир=,v.,to get drunk;
итирик,a.,drunk
иттэнэ,adv.,backwards
итэҕэй=,v.,"to believe, have faith;"
итэҕэл,n.,belief
итэҕэс,n.,"lack, insufficiency"
иһиир=,v.,to whistle
иһин,pp.,"for, on account of, for the sake of"
иһит,n.,"container, bottle, kitchenware, casserole, dishes, crockery;"
иһит=,v.,"to hear, listen, obey;"
истимтиэ,a.,able to listen/obey;
иһитиннэрии,n.,information
иһэлий=,v.,to swell/redden from cold;
иһэлит=,v.,to make
иһэҥэ,n.,stirrup
иччи,n.,internal spirit; master; ghost
иччитэх,a.,abandoned
ичэгэс,a.,warm;
ичэгэстик,adv.,warmly
иэҕэй=,v.,to bend
иэдьэгэй,n.,cottage cheese
иэдэс,n.,cheek
иэн,n.,size
иэс,n.,debt
иэх=,v.,to bend
калап,n.,hat
кампания,n.,"campaign, drive [<Russ.]"
каникул,n.,"vacation, holiday [<Russ.]"
капитан,n.,captain [<Russ.]
карта,n.,map [<Russ.]
карточка,n.,file card [<Russ.]
кии,n.,"manure, dung, droppings"
киий̃ит,n., "daughter-in-law (cf. киньиит)"
киилэ,n.,"kilo, kilogram [<Russ. кило]"
киин,n.,navel; center
киинэ,n.,"movie, cinema [<Russ. кино]"
киир=,v.,"to enter, go in; to set (of the sun); to go out into;"
киирии,,
киис,n.,sable (Martes sp.);
киис тиҥилэҕэ,n.,stone bramble
кик=,v.,"to incite, instigate"
килбик,a.,"timid, shy;"
килбий=,v.,"to be timid, shy;"
килбигий=,v.,
килиэп,n.,bread [<Russ. xлеб]
киллэр=,v.,"to bring, lead in, introduce"
киллэр=,v.,"to enter, bring inside"
киллэһик,n.,"insertion, patch"
километр,n.,kilometer [<Russ.]
килэй=,v.,"to reflect, shine, glitter;"
килэҥ,n.,"reflection, shine;"
ким,int.,who?;
кимнээх,int.,who (pl.)?;
ким эрэ,pro.,someone
ким=,v.,"to press hard, attack, advance"
кини,pro.,"he, she;"
киниэнэ,pro.,"his, hers;"
кинилэр,pro.,they;
кинигэ,n.,book [<Russ. книга];
кингиэ кумааҕы,n.,books and
киньиит,n., "daughter-in-law (cf. киий̃ит)"
киоск,n.,"newsstand, magazine stall, kiosk [<Russ.]"
кир,n.,"dirt, filth;"
кирдээх,a.,dirty;
киртий=,v.,to become dirty
кир=,v.,"to chew, gnaw, nibble"
кирилиэс,n.,"staircase, stairs; ladder"
кирээдэ,n.,(flower) bed [<Russ. гряда]
кистээ=,v.,"to hide, secrete"
кистээ=,v.,to neigh
киһи,n.,"person, human, man"
киһитий=,v.,to become humane
киэҥ,a.,wide;
киэҥ- киэҥ,a.,very wide
киэп,n.,"form, shape"
киэпкэ,n.,baseball cap [<Russ. кепка]
киэргэ,n.,arch. jewel
киэргэй=,v.,to become more pretty;
киэргэт=,v.,to decorate
киэһэ,n.,"evening, night"
киэһэ,a.,late;
киэһээ,a.,"nocturnal, evening, late;"
колхуос,n.,"kolkhoz, collective farm"
комбайн,n.,"combine, grain harvester [<Russ. <Eng.]"
комиссия,n.,"commission, panel [<Russ.]"
комитэт,n.,committee [<Russ.]
коммунист,n.,communist [<Russ.]
комуос,n.,"dipper, ladle"
конституция,n.,constitution [<Russ.]
концерт,n.,concert [<Russ.]
кооператив,n.,"co-op, co-operative"
көҕө,n.,"hook, trigger"
көҕөн,n.,"wild duck, drake; mallard (Anas platyrhynchos)"
көҕөр=,v.,to become blue
көҕүй=,v.,to stimulate
көҕүс,n.,"spine, back"
көдьгө,a.,"alienated, unloved"
көйөргөн,n.,"ferment, leavening"
көлө,n.,working cattle
көлөһүн,n.,sweat
көлүй=,v.,"to yoke, attach to a yoke"
көм=,v.,to bury
көмөлөс=,v.,to help
көмүс,n.,"that which has been buried; gold, silver;"
кыһыл көмүс,n.,
көмүскэс,a.,"defensive, protective;"
көмүскээ=,v.,"to defend, protect"
көн=,v.,"to straighten, become straight;"
көннөр=,v.,to straighten
көннөрү,a.,simple
көҥөө=,v.,"to restrict, limit"
көҥөс=,a.,greedy
көҥүл,n.,freedom
көппө,a.,lazy;
көппөй=,v.,to become lazy;
көппөт=,v.,to make
көппөх,n.,"junk on the surface of water, flotsam and jetsam"
көр,n.,fun;
көр-нар,n.,fun
көр=,v.,to see;
көрүмтүө,a.,"able to see, observe;"
абааһы көр=,v.,
көрдөрүү,n.,index
көрдөс=,v.,"to beg, request;"
көрдөһүүк,a.,constantly begging
көрүҥ,n.,appearance
көрүнньүк,n.,gallery
көрүҥэ,n.,version
көрүс=,v.,to meet;
көрсүө,a.,"modest, amiable"
көс,n.,arch. eye
көс,n.,"mile, migration"
көс=,v.,"to migrate, move from one place to another"
көстүрүүҥкэ,n.,"sauce-pan, pot [<Russ. кастрюля]"
көстүүм,n.,suit (of clothing) [<Russ. костюм]
көт=,v.,to fly;
көтөр-сүүрэр,n.,"animals, animal kingdom"
көтөллөө=,v.,to hitch horses together
көтөр,n.,bird;
көтөр-сүүрэр,n.,"animals, animal kingdom"
көтөр-сүүрэр,n.,"animals, animal kingdom, Animalia"
көтөх,a.,skinny
көтөх=,v.,"to lift, raise"
көтүмэх,a.,"negligent, slipshod"
көтүр=,v.,to tear down
көтүт=,v.,"to miss, slip, trip, fall; fail, omit"
көтүт=,v.,"to winnow, sift; to wave;"
көтүтэр массыына,n.,
көх,n.,"enthusiasm, initiative"
көхө,n.,"hatrack, coatstand"
көххө=,v.,to accompany
көһүй=,v.,to become numb;
көһүт=,v.,to make numb
көһүс=,v.,to appear
көһүүн,a.,slow
крем,n.,cream [<Russ.]
крүcүн,a.,Georgian
куба,n.,swan (Cygnus sp.)
кубаҕай,a.,pale
кубарый=,v.,to become pale;
кубархай,a.,pale
кугас,a.,"brown, chestnut, ruddy, red"
куйа,a.,"miniature, tiny"
куйаар,n.,outer space;
куйаар,v.,"to soar, fly up"
куйаас,n.,heat;
куйаас,a.,hot
куй̃ах,n.,armor
куйуур,n.,fishing net
кулахы,n.,"bug, bedbug"
кулгаах,n.,ear
кулун,n.,foal;
кулун тутар,n.,March
кулун тутар,n.,March
кулут,n.,"slave, servant"
кулууп,n.,(social) club [<Russ. клуб]
кумааҕы,n.,paper;
кингиэ кумааҕы,n.,books and papers
кумах,n.,sand
куобах,n.,"hare, rabbit"
куоҕас,n.,loon (Gavia sp.)
куолай,n.,"esophagus, food-pipe"
куолас,n.,ear of grain [<Russ. колос]
куолас,n.,"voice, vote [<Russ. голос];"
куоластаа=,v.,"to vote, voice"
куопта,n.,woman’s jacket [<Russ. кофта]
куорат,n., "city [<Russ. город] (cf. гуорат)"
куорма,n.,stern (of a ship) [<Russ. korma]
куорсун,n.,"feather, quill, down"
куоска,n.,cat [<Russ. кошка];
куоскамсах,a.,cat-loving
куот=,v.,"to run away from, outrun;"
куотун=,v.,to evade;
кур,a.,"arid, dry, stale, old;"
куруй=,v.,to become stale
кур,n.,"belt, strap"
кураан,n.,drought;
кураанах,a.,"dry, empty"
курас,a.,"pungent, astringent (of taste)"
курдук,a.,"same, similar, like"
куртах,n.,stomach
куртуйах,n.,black grouse (Tetrao tetrix)
курулаа=,v.,to gurgle;
курулас,a.,gurgling
курум,n.,"feast, banquet"
"куруҥ, куруҥах",n.,"dried up tree, forest"
куруппа,n.,groats (barley) [<Russ. крупа]
куруппааскы,n.,partridge [<Russ. куропатка]
куруук,adv.,"constantly, continually"
куруһох,n.,"circle, discussion group [<Russ. кружок]"
кут=,v.,"to pour, scatter, spread"
кута,n.,swamp
кутаа,n.,"bonfire, campfire"
куттаа=,v.,"to frighten, scare;"
куттан=,v.,to become scared
кутуйах,n.,mouse
кутурук,n.,tail
куукула,n.,doll [<Russ. кукла]
куукуна,n.,kitchen [<Russ. кухня]
куул,n.,bag; matting
куур=,v.,"to dry, cause to dry;"
куурт=,v.,to be dried
куур=,v.,to perform a shaman’s ritual
куурусса,n.,"hen, chicken, fowl [<Russ. курица]"
куус=,v.,to hug
кууча,n.,"heap, pile [<Russ. куча]"
куучча,adv.,"quite, completely"
куһаҕан,a.,"bad, evil;"
куһаҕаннык,adv.,"poorly, badly"
кучуй=,v.,to reach an agreement
күкүр,n.,feed trough
күл,n.,"ash, ashes"
күл=,v.,to laugh;
күлүм,n.,smile;
күлүү,n.,laughter;
күлүүк,a.,
күлгэри,n.,lizard
күлүк,n.,"shade, shadow"
күлүм,n.,sparkle;
күлүмэх,a.,flash-like; exceptional
күлүүс,n.,key [<Russ. ключ]
күн,n.,"sun, day;"
күнүс,adv.,"by day; midday, afternoon;"
күн,,
күндэ,n.,darling;
күндү,a.,"dear, valuable, precious"
күннүк,n.,diary
күнүс,n.,"midday, noon, afternoon"
күнүүһүт,n.,jealous man
күөгү,n.,fishing pole
күөл,n.,lake
күөмэй,n.,throat
күөнэх,n.,Eurasian minnow (Phoxinus phoxinus)
күөрчэх,n.,"drink made with milk, honey, and spice; frappe"
күөрэгэй,n.,lark (bird)
күөрэй=,v.,"to soar up, shoot upward"
күөс,n.,(cooking) pot
күөх,a.,"blue, green;"
күөх сүрэх,n.,lazy person;
от күөҕэ,a.,green;
күрт=,v.,to dig;
күрдьэх,n.,"shovel, spade, dig"
күрт=,v.,to shovel;
күртэх,n.,shovel
күрүө,n.,"fence, stockade"
күрээ=,v.,"to run away, flee;"
күрээдьэх,n.,"runaway, fugitive"
күрээтинньик,n.,chicken coop [<Russ. курятник]
"күс, күһүн",n.,"autumn, fall;"
"күс, күһүн",adv.,in the fall
күтүөт,n.,son-in-law
күтүр,a.,"stingy, miserly"
күтэр,n.,muskrat (Ondatra zibethicus)
күү,ono.,Buzz!;
күү гын=,v.,to buzz
күүр=,v.,"to strain, exert"
күүс,n.,strength;
күүстээх,a.,strong;
күүс-уох,n.,"strength, power"
күүт=,v.,"to wait for, await"
кыа,n.,"tinder, kindling"
кыай=,v.,"to be able; to win, succeed, overcome, conquer, destroy;"
кыараҕас,a.,"close, narrow"
кыах,n.,"mastery, power"
кыбаас,n.,kvass [<Russ. квас]
кыбын=,v.,"to grip, put under one’s arm;"
кыбыт=,v.,to insert;
кыдьый=,v.,to become old;
кырдьаҕас,a.,old (not young)
кый,a.,"far, distant, remote;"
кыйаар=,v.,to fly far away
кыккыраа=,v.,to creak
кыл,n.,horsehair
кылаас,n.,"class, classroom [<Russ. класс]"
кыламан,n.,eyelash
кылар,a.,"squinty, cross-eyed;"
кылан=,v.,to squint;
кылат=,v.,to
кылгас,a.,short;
кылгаа=,v.,to shorten
кылырҕаа=,v.,to rattle
кымньыы,n.,whip
кымырдаҕас,n.,ant
кымыс,n.,kumiss (fermented mare’s milk)
"кынат, кый̃ат",n.,wing;
сарыы кынат,n.,bat
кыҥкынаа=,v.,to clink;
кыҥкынас,a.,clinking
кыҥсий=,v.,to speak through one’s nose
кып-кыһыл,a.,flaming red
кыптый,n.,scissors
кыра,a.,small;
кыратый=,v.,to become small;
кыратык,a.,small
кыраабыл,n.,rake [<Russ. грабли]
кыраай,a.,"far away, distant"
кырааска,n.,"paint, color, dye [<Russ. краска];"
кырааскалаах,a.,
кырагы,a.,sharp-sighted
кырбаа=,v.,"to cut into pieces; to strike, beat;"
кырбас,"n., a.",piece;
кырдьаҕас,a.,"old, elderly;"
кырдьаҕаһымсый=,v.,to pretend to be
кырдьык,a.,"true, veritable, exact"
кырса,n.,"polar fox, Arctic fox (Alopex/Vulpes lagopus)"
кырыа,n.,"frost, hoar"
кырый=,v.,"to become old, to age;"
кырыт,v.,"to make age, make"
кырый=,v.,"to cut, clip, shear"
кырык,n.,"anger, spite;"
кырыктый=,v.,to become angry
кырынаас,n.,ermine (Mustela erminea) [<Russ. горностай]
кырыы,n.,"furthest border, edge"
кырыымпа,n.,violin [<Russ. скрипка]
"кыс, кыһын",n.,winter;
кыс хаар,n.,"winter snow, snow which will"
кыс=,v.,"to cut; to plane, scrape, carve;"
кыһыы=,v.,to scrape
кыстык,n.,anvil
кыстык,n.,winter house
кытаанах,a.,hard
кыталык,n.,stork
кытар=,v.,"to become red, redden;"
кытархай,a.,reddish
кытат=,v.,"to become hard, tough, sturdy"
кытта,pp.,with
кытыйа,n.,large wooden bowl
кытыл,n.,"shore, bank, border, edge"
кыһа,n.,"hearth, crucible"
кыһа,n.,"horn, trumpet"
кыһаан,a.,pink
кыһай=,v.,"to force, urge, spur;"
кыһан=,v.,to do one’s best
кыһалга,n.,"need, lack, poverty, urgency"
кыһан=,v.,"to need, require; to strive; to be concerned with, worry;"
кыһый=,v.,"to itch, to be vexed;"
кыһыт=,v.,"to vex, to make itch"
кыһыл,a.,red;
кыһыл көмүс,n.,gold;
кыһыл оҕо,n.,"infant, baby;"
кыһыр=,v.,to become angry
кыһыы,n.,resentment;
кыһый=,v.,to resent
кыыбах,n.,"grain, particle"
кыыл,n.,animal;
кыыл таба,n.,wild reindeer
кыыллый=,v.,to become brutal
кыым,n.,spark
кыын,n.,"sheath, scabbard"
кыыр=,v.,to act as a shaman
кыырай,a.,"far away, distant"
кыырай=,v.,to soar up very far/high;
кыырат=,v.,"to throw, cause"
кыырт,n.,hawk
кыыс (pl. кыыргыттар),n.,"girl, daughter"
кэбирэх,a.,"flimsy, fragile, insecure, unstable;"
кэбирээ=,v.,to
кэбис=,v.,"to throw, toss, pitch, cast;"
Err:509,"conv., to do",
кэбиһилин=,v.,"to leave behind, be abandoned;"
кэбиһиилээх от,n.,
кэҕэ,int.,Cuckoo!
кэдэй=,v.,to bend foreward;
кэдэгэс,a.,bending forward
кэй=,v.,"to strike with the head or horns, butt, gore"
кэккэ,n.,"row, rank"
кэкэ-бука,n.,Krüper’s nuthatch (Sitta krueperi)
кэл=,v.,to come;
кэлии барыы,n.,coming and going
кэлим,a.,"whole, integral"
кэлин,n.,"back (side), behind"
кэлтэй=,v.,to become asymmetric;
кэлтэт=,v.,to make asymmetric;
кэлтэһэ,n.,stye (of the eye)
кэм,n.,measure;
кэмнээ=,v.,to measure
кэм,n.,"time, deadline"
кэмсин=,v.,"to regret, repent"
кэмчи,a.,"scarce, rare, scant, meager, slight"
кэҥис,a.,insatiable
кэнна,pp. adv.,"behind, after, then;"
кэннигэр,"pp., adv.","behind, in"
кэнсэлээрийэ,n.,chancellery; office [<Russ. канцелярия]
кэнэҕэс,"conj., adv.","then, consequently"
кэнэн,a.,naïve
кэпсээ=,v.,"to tell, narrate, relate;"
кэпсэт=,v.,"to talk to, converse;"
кэрбээ=,v.,"to gnaw, bite through;"
кэрбээччи,n.,rodent
кэргэн,n.,"family, family member"
кэс,n.,cow with calf
кэс=,v.,"to wade through, ford across"
кэскил,n.,"fate, future"
кэт=,v.,"to wear, put on; to clothe"
кэтилин=,v.,to be stumbled upon
кэтит,a.,"broad, wide;"
кэп-кэтит,a.,"very wide, broad"
кэтэҕэр,n.,"behind, hind part"
кэтэрт=,v.,to put
кэтэс=,v.,to wait
кэтэх,n.,nape
кэтээ=,v.,"to guard, watch over;"
кэтэбил,n.,"guard, watch"
кэтээ=,v.,"to watch, keep an eye on;"
кэтэх,a.,private
кэһэй=,v.,"to learn, be taught a lesson;"
кэһэт=,v.,to teach a lesson
кээмэй,n.,measure
кээс=,v.,"dial. cf. кэбис= to throw, toss, pitch, cast"
лаампа,n.,"lamp, radio tube [<Russ. лампа]"
лааппы,n.,"shop, store [<Russ. лабка]"
лааскай,n.,weasel (Mustela sp.) [<Russ. ласка]
лаах,n.,lacquer [<Russ. лак]
лабаа,n.,branch (of a tree)
лахсый=,v.,to talk rubbish
Лена,n.,Lena river
лётчик,n.,(airplane) pilot
линкинээ=,v.,"to ring, jingle"
лиһирдээ=,v.,"to tramp, walk heavily"
лиэксийэ,n.,lecture [<Russ. лексия]
лотерея,n.,lottery [<Russ.]
лөкө,a.,"stout, fat"
луодур,n.,"loafer, slacker [<Russ. лодырь]"
луоска,n.,spoon [<Russ. ложка]
луук,n.,onion (Alium cepa) [<Russ. лук]
лыглыйа,n.,barnacle goose (Branta leukopsis) [<Russ?]
лэкээ=,v.,to chop
лэппиэcкэ,n.,"pastry, cookie [<Russ. лепёшка]"
маадьай=,v.,to be bandy-legged;
маадьаҕар,a.,bandy-legged
мааны,a.,dear
маарыын,adv.,recently (cf баарыын)
маҕаас,n.,white-faced cow
маҕан,a.,white (cf. маҥан)
маҕана,n.,"peg, post (cf. баҕана)"
магаһыын,n.,"shop, store [<Russ. магазин]"
майаҕас,n.,lake salmon (Onchorhynchus sp.)
майгы,n.,mood;
быһыы-майгы,n.,"situation, state of affairs"
майдын,adv.,"formerly, recently"
малатыылка,n.,thresher [<Russ. молотилка]
маллаах иһит,n.,birchbark dishes with sewn work
манаа=,v.,"to graze, herd, shepherd"
маҥан,a.,"white; (cf. маҕан)"
маҥаас,a.,white-headed (of a cow);
маҥнайгы,a.,"first, initial"
манньа,n.,"favor; pay, fee;"
манньый=,v.,to do a favor; to be
манньыат,v.,"coin, money [<Russ. монета]"
манньый=,v.,to be sentimental;
манньыт=,v.,to make sentimental
маҥыраа=,v.,to low (of a cow)
марай,n.,soiling;
марайдаа=,v.,"to soil, stain"
мас,n.,"tree, wood, stick, pole;"
мас ууһа,n.,carpenter;
от-мас,n.,
массыына,n.,"machine, automobile, car [<Russ. машина];"
быһар,,
мат=,v.,to deprive of something
матаҕа,n.,large back
матай=,v.,to have a broad back
матараас,n.,mattress [<Russ. матрац]
махтал,n.,"thanks, gratitude;"
"махтал баһыыба, баһыыба махтал",,
махчай=,v.,to squat
металл,n.,metal [<Russ.]
мииcкэ,n.,"bowl, basin, tureen [<Russ. миска]"
миин=,v.,"to ride (a horse, etc.)"
мин,n.,soup
мин,pro.,I;
миэнэ,pro.,mine
минньий=,v.,to become sweet;
минньигэс,a.,"sweet, delicious"
мичээр,n.,smile;
мичээр,v.,to smile;
мичилик,n.,comp. smiley
миэбэл,n.,furniture [<Russ. мебель]
миэл,n.,chalk [<Russ. мел]
"миэлиссэ, миэлиҥсэ",n.,mill [<Russ. мелница]
моҕотой,n.,chipmunk;
моҕотойдьут,n.,chipmunk hunter
моой,n.,neck
мооньоҕон,n.,black currant (Ribes nigrum)
мооньоҕон,n.,northern pintail (duck – Anas acuta)
моркуоп,n.,carrot (Daucus carota) [<Russ. морковь]
мороду,n.,Baikal teal (Anas formosa)
морфология,n.,morphology
мостуруской,n.,"workshop, studio, atelier [<Russ. мастерская]"
мохсоҕол,n.,"hawk, falcon"
мөлбөй=,v.,to become large
мөлтөх,a.,weak;
мөлтөө=,v.,"to weaken, become weak"
мөлүүк,n.,profit
мөх=,v.,"to scold, swear"
музыка,n.,music [<Russ.]
муксуун,n.,muksun (Coregonus muksun)
муҥ,n.,"suffering, hardship;"
муҥнаах,a.,"poor, bad-off, destitute"
мун=,v.,"to lose one’s way, become lost;"
муннар=,v.,to make lost
мунаах,a.,doubtful;
муннахсый=,v.,to doubt
мунду,n.,loach (fish)
муннук,n.,corner
"мунньак, мунньах",n.,meeting
мунньус=,v.,to gather
муҥур,n.,weasel (Mustela sp.)
муҥурдаах,n.,large intestine
муҥха,n.,"seine, drag-net"
мунчаар,a.,"anxious, worried;"
мунчаар,v.,to worry
муора,n.,sea [<Russ. море]
муос,n.,"horn, ivory;"
муос ууһа,n.,ivory carver
муоста,n.,floor
муоһа,n.,"reins, straps; (cf буоһа)"
муоһалаа=,v.,to rein in
мурун,n.,nose
мус=,v.,"to gather, collect; to rake"
мутук,n.,"twig, branch, bough;"
мутукча,n.,needle (of a tree)
муус ,n.,"ice; (cf. буус)"
муус устаар,n.,April (lit. ‘ice floats’)
мүнүүтэ,n.,minute [<Russ. минута]
мындаа,n.,"top, peak, summit"
мындыр,a.,wise
мыыла,n.,soap [<Russ. мыла]
мэ,int.,Here! Take!
мэй̃,n.,head
мэйин,n.,brain
мэкчиргэ,n.,owl
мэлдьи,adv.,"always, continually"
мэлдьэс=,v.,"to deny, disavow, refuse to acknowledge"
мэлий=,v.,to perish;
мэлит=,v.,to make perish
мэлий=,v.,to disappear;
мэлигир,a.,absent
мэҥ,n.,"birthmark, mole"
мэник,a.,"naughty, stupid"
мэҥэ,a.,eternal
мэнэрий=,v.,"to hallucinate, to have a headache;"
мэнэрит=,v.,to
мэнээк,n.,dial. wild reindeer
мэһэй,n.,"annoyance, bother[<Russ. мешай];"
мэһэйдээ=,v.,to
мээнэ,a.,"useless, futile; futilely, aimlessly, purposelessly"
мээчик,n.,ball
наада,a.,"necessary, needed [<Russ. надо]"
наҕыл,a.,"calm, relaxed, leisurely;"
наҕылый=,v.,"to relax, become"
наймы,v.,hiring [<Russ. найми];
наймылаа=,v.,to hire
намый=,v.,"to weaken, soften, attunate"
намыһах,a.,"low, short"
намыын,a.,"calm, peaceful"
нарын,a.,tender
наскы,n.,sox
начальнай,a.,"beginning, elementary, initial [<Russ.]"
наһаа,adv.,"very, a lot, too much;"
наһаа,a.,"too much, excessive"
ноо,exc.,Hey! Stop!
нохоо ,exc.,Hey you! (cf. нокоо)
нокоо ,exc.,Hey you! (cf. нохоо)
норуот,n.,"people, populus, folk"
нуомас,n.,news;
сонун нуомас,n.,news
нуора,n.,"swamp, thicket"
нуорма,n.,"norm, assigned quota [<Russ. норма]"
нуур,n.,"doze, slumber"
нуучча,a.,Russian;
нууччалыы,"n., a.",Russian (language)
нүөлүй=,v.,"to subside, to be satisfied;"
нүөлүт=,v.,to make
ньаа,ono.,"Squeak!, Meow!;"
ньаа гын=,v.,"to squeak, meow"
ньаадьы,n.,"teacher, master"
ньаалбаан,n.,"tin, sheet metal"
ньаат,n.,kind of diving bird
ньилбэк,n.,knee
ньиргий=,v.,to thunder
ньирмсий=,v.,"to act stupid, naïve"
ньирэй,n.,"(newborn) calf, young cow"
ньиэмиэт,n.,pattern
ньоҕой,a.,stubborn
ньолой=,v.,"to have a long face, to jut out (of one’s face)"
ньолбой=,v.,to become oval;
ньолбуһах,a.,oval
ньохчой=,v.,to stoop;
ньохчоҕор,a.,"stooping, hunchbacked"
ньочох,n.,young hare
ньөкөй=,v.,to trample down in a press
ньулуун,a.,"insipid, unflavored, stale"
ньургуй=,v.,"to be first, best, choice;"
ньургут=,v.,to glorify
ньургун,a.,"first, best, choice"
ньургуһуун,n.,"snowdrop (plant, Galanthus sp.)"
ньуур,n.,"face, countenance; surface"
ньүөл,n.,moisture
ньыла,a.,sloping
ньэчимиэн,n.,barley [<Russ. ячмень]
нэдиэлэ,n.,week [<Russ. неделя]
нэс,a.,stubborn
нэһилиэк,n.,"nasleg, village soviet [<Russ. наслег]"
нэһилиэнньэ,n.,"village, settlement; population [<Russ. население]"
обор=,v.,"to absorb, to suck"
оборчо ,n.,"tube, pipe (cf. обоччо)"
обот,n.,appetite
обоччо c,n.,"tube, pipe (f. оборчо)"
обуос,n.,"wagon train, caravan [<Russ. обоз]"
огурсуу,n.,cucumber [<Russ. огурец]
оҕо,n.,child;
кыһыл оҕо,n.,"infant, baby;"
оҕомсуй=,v.,to act
оҕонньор (pl. оҕонньоттор),n.,old man;
оҕонньорсуй=,v.,to
оҕун=,v.,to fall
оҕунуох,n.,salve (cf аҕыныах)
оҕуруо,n.,glass beads (cf. аҕырыа)
оҕуруот,n.,vegetable garden [<Russ. огород];
оҕуруот аһа,n.,
оҕус,n.,"ox, bull;"
ат оҕус,n.,bullock;
атыыр оҕус,n.,stud-bull;
оҕус= (охcо=),v.,"to hit, strike; to mow; =а (=ыы) оҕус= conv., to"
оҕут= (охтор=),v.,"to fall, throw down"
ой,n.,"woods, grove"
ой=,v.,to jump
ойбон,n.,icehole
ойоҕос,n.,rib; side
ойоос,n.,"small island, islet"
ойох,n.,"woman, female, wife"
ойун (pl. ойуттар),n.,shaman
ойун=,v.,"to come apart, become detached"
ойуур,n.,forest
ол,pro.,"it, that; there"
олом,n.,ford
оломто,n.,"basis, foundation"
олоҥхо,n.,epic poem;
олоҥхоһут,n.,epic poet
олоппос,n.,chair
олор=,v.,"to live; to sit; (=ыы) олор= conv., to get ready to, to"
олорт=,v.,to set out
олох,adv.,"entirely, totally, at all"
олох,n.,"life, behavior; status, situation, seat"
олохсуй=,v.,to settle
олунньу,n.,February
олус,adv.,"quite, very"
омурт,n.,cavity of the mouth;
омурт,v.,to fill one’s mouth
оҥ=,v.,to gouge
оннук,adv.,"so, thus, that way"
онус,adv.,quite
оҥ=,v.,"to tear out, rip out, gouge out"
оҥкучах,n.,"cellar, basement"
оҥой=,v.,"to become open, be opened;"
оҥот=,v.,to open
оҥор=,v.,"to make, do;"
оҥоһук,n.,something which has been
оҥочо,n.,"boat, craft [<Mong. oŋuča]"
"ооҕуй, ооҕуй оҕус",n.,spider
оонньуу,n.,"game, sport;оонньуур"
оонньуу,n.,"toy, game, plaything ;"
оргуй=,v.,"to boil, seethe;"
оргут=,v.,"to boil, make boil"
оргуһах,n.,yoke
оргууй,a.,quiet
ордук,n.,"more, better, abundance, extra"
ордуу,n.,"camp, campsite"
орой,n.,top (of the head)
оройуон,n.,"region, rayon [<Russ. район];"
оройуоннааҕы,a.,
орон,n.,"land, place; bed, cot"
ороос=,v.,"to mix up, intervene"
оросу,a.,late
орт=,v.,"to remain, be left over;"
ордук,a.,"spare, left over"
орто,n.,"middle, center,"
орто,a.,"central, intermediate;"
күн ортото,n.,
орулуос,n.,golden eye (duck – Bucephala clangula)
оруобуна,adv.,exactly
оруос,n.,winter rye [<Russ. рожь]
ос,n.,boot top
оскуола,n.,school [<Russ. скола]
оссо,a.,"that much, so much"
остолуобай,n.,"dining room, lunch room, cafeteria [<Russ."
остоолбо,n.,"pillar, column [<Russ. столб]"
остуол,n.,table [<Russ. стол]
остуолба,n.,"post, pole, column [<Russ. столб]"
остуорас,n.,watchman [<Russ. сторож]
от,n.,"grass, hay;"
отчут,n.,person who mows grass;
от-мас,n.,
от ыйа,n.,July
