sah, POS, translation
буус ,n.,"ice (cf. муус)"
буустаах,a.,"icy, ice-covered"
буут,n.,"hip, haunch, hock, thigh"
буутайдаа=,v.,to confuse [<Russ. путай]
буух,n.,down (feathers) [<Russ. пуx]
буһарча,n.,type of fish dish
бүгүдьэх,n.,gadfly
бүгүн,adv.,today
бүк,n.,"fold, pleat;"
бүк=,v.,"to hide oneself; to bend, fold, arch"
"бүлүүссэ, бүлүүһэ",n.,saucer [<Russ. блюдце]
бүө,n.,cork stopper
бүөм,n.,"cozy, remote, isolated place; traffic jam"
бүөр,n.,kidney
бүргэс,n.,"awl, augur, brace and bit"
бүрүй=,v.,to cover;
бүрүлүн=,v.,to be covered
бүрүүкэ,n.,"pants, trousers [<Russ. брюки]"
бүт=,v.,"to finish, conclude, come to an end;"
бүтэр=,v.,to cause to
бүтүн,a.,"whole, entire; all"
бүтэй,a.,closed; muffled; smothering; remote;
бүтэҥи,a.,rather
бүтэй,n.,"fence, hedge, barrier; enclosed space"
быа,n.,"rope, bond, cord, twine, string;"
сис быата,n.,saddle strap;
быар,n.,liver
быдаан,n.,fog;
ыыс-быдаан,n.,"dense darkness, heavy mist"
быйыл,adv.,"this year, in this year"
бык=,v.,"to look out, peep out"
былаа,a.,arch. long
былаадьах,n.,stick for a shaman’s drum
былаан,n.,plan [<Russ. план]
былаат,n.,"shawl, scarf [Russ. платок]"
былаах,n.,flag [<Russ. флаг]
былахы,n.,flea [<Russ. блоxа]
былдьаа=,v.,"to take away, deprive, remove"
былтарый=,v.,"to exit, to leave the road;"
былтарыт=,v.,to force
былыр,adv.,"formerly, anciently;"
былыргы,a.,ancient;
былырыын,adv.,last year
былыт,n.,cloud;
былытыр=,v.,to become cloudy
быраас,n.,doctor [<Russ. врач]
бырааһынньык,n.,"holiday, vacation [<Russ. праздник]"
бырамыысыланаһы,n.,industry [<Russ. промйшленость]
бырастыы,exc.,Excuse me! [<Russ. прощат]
бырастыына,n.,sheet [<Russ. простыня]
бырах=,v.,"to cast, throw"
быраһаай,exc.,Good bye! [<Russ. прощай]
бырдах,a.,"impure, unclean, sterile, barren"
бырдах,n.,mosquito
бырыһыана,a.,per cent [<Russ. процент]
быс=,v.,to cut;
быһар массыына,n.,"harvester, reaper;"
быһыы,n.,
быстах,a.,"intermittent, occasional"
быт,n.,louse
бытаан,a.,slow;
бытаанык,adv.,slowly;
бытаар=,v.,to slow down
бытархай,a.,"small, minute"
бытарый=,v.,to be crumbled up;
бытархай,a.,"small, minute, fine"
бытаһыт,n.,mouse
быттык,n.,groin
бытык,n.,"mustache, beard, whiskers"
бытырыыс,n.,scrap
быһа тардыы,n.,comp. quote
быһаар=,v.,to explain
быһаарыы,n.,"description, explanation"
быһах,n.,knife
быһыт,n.,"barrier preventing passage; dam, dike"
быччас,a.,"different, various"
быччын,n.,muscle
бычыкай,a.,"little, small"
быыбар,n.,election [<Russ. выборы];
быыбардаа=,v.,to elect
быыл,n.,dust [<Russ. пыль]
быыс,n.,"border, curtain"
быыһаа=,v.,to save
бэбиэскэ,n.,"message, notice, summons, agenda, business [<Russ."
бэҕэһээ,adv.,yesterday
бэдэр,n.,lynx
бэйэ,n.,"body, nature, substance;"
бэйэ,pro.,Self [<Evk.];
бэйэ бэйэ,pro.,
бэкий=,v.,to be lean;
бэкигир,a.,lean
бэлимиэн,n.,dumpling
бэлиэ,n.,comp. account
бэлиэ,n.,"sign, mark, token;"
бэлиэтии көр=,v.,"to observe, witness"
бэлиэтэммит,a.,"joined, registered"
"бэлэм, бэлэн",a.,"ready, prepared;"
бэлэмнээ=,v.,"to prepare, make"
бэлэх,n.,gift
бэргэн,a.,"accurate, well-aimed"
бэргэһэ,n.,"cap, hat"
бэргээ=,v.,"to become worse (of a disease), be aggravated;"
бэрик,n.,bribe
бэриниэ,n.,featherbed [<Russ. перина]
бэрис=,v.,to share
бэрт,adv.,very;
бэрдимсий=,v.,to pretend to be excellent
бэрэбиэркэлээ=,v.,"to examine, check, verify"
бэрэбэнэ,n.,log [<Russ. бревно]
бэрэмээт,n.,seine [<Russ. перемëт];
бэрэмээттээ=,v.,to seine
бэс,n.,pine (tree);
бэс ыйа,n.,June
бэс ыйа,n.,June
бэтириэт,n.,portrait [<Russ. портрет]
бэһис,num.,fifth
бэчээттээ=,v.,to print [<Russ. печатать]
вагон (вагуон),n.,railway car [<Russ. <Fr.]
васа,n.,vase [<Russ.]
велосипед,n.,bicycle [<Russ.]
ветеринар,n.,veterinarian [<Russ.]
врач,n.,doctor
гектар,n.,hectare [<Russ.]
голууб,n.,pigeon [<Russ. голубь]
горчица,n.,mustard [<Russ.]
гостиница,n.,hotel [<Russ.]
государства,n.,[<Russ. государство]
грамм,n.,gram [<Russ.]
гуорат,n.,"city [<Russ. город] (cf. куорат)"
гын=,v.,"to do, make"
гэннэ,a.,"behind, back"
да,adv.,"also, too, even, indeed;"
"да…да conj. and, both…and",,
даа,ono.,Croak!;
даа гын=,v.,to croak
"даах, даах",ono.,Caw! Caw!
дабархай,n.,wood tar
даҕаа=,v.,to touch lightly;
даҕааһын,n.,touching lightly; adjective
даҕааһын (аат),n.,adjective
даҕаны…даҕаны conj. both…and,,
дайбаа=,v.,"to wave, flap wings, swing arms"
дайды,n.,"dial cf дойду land, country"
дакылаат,n.,report [<Russ. доклад]
далай,n.,sea
далай=,v.,"to wave, gesticulate, swing one’s hands; to hit"
далан,a.,"reckless, careless"
далда,n.,shelter (for livestock)
даллай=,v.,"to extend, spread (hands or wings)"
дириҥ,a.,deep
"дирэктар, директор",n.,"director, leader [<Russ. директор]"
диэ=,v.,to say
"диэки, диэкки",n.,"direction, side, place;"
"диэки, диэкки",adv.,to the side of
доҕолоҥ,a.,"lame, disabled;"
доҕолоҥноо=,v.,"to limp, be lame"
доҕор ( pl. доҕоттор),n.,friend;
атас-доҕор,n.,friends
дойду,n.,"land, country;"
ий̃э дойду,n.,"motherland, homeland"
долбуур,n.,shelf
долгуй=,v.,"to surge, rise in waves, be agitated;"
долгут=,v.,to
дорҕоон,n.,"sound, noise, voice;"
аһаҕас дорҕоон,n.,vowel;
бүтэй,,
доргуй=,v.,to sound;
доргут=,v.,to make sound;
дорҕоон,n.,
дорообо,int.,Greetings! Hello!;
дорообо,a.,healthy [<Russ. добро]
доруобуйа,n.,health [<Russ. доброта]
доруобунньук,n.,buckshot [<Russ. дробинка]
дохуот,n.,"profit, return, income, receipts [<Russ. доxод]"
